release_date,title,production_budget,box_office,profit,roi_percentage,performance,runtime,tagline,poster_url,backdrop_url,trailer,sentiment_score,comment
"May 22, 1996",Mission: Impossible,$80.0M,$457.7M,$377.7M,472.12%,0.61,110,Expect the impossible.,https://image.tmdb.org/t/p/w500/l5uxY5m5OInWpcExIpKG6AR3rgL.jpg,https://image.tmdb.org/t/p/w1280/jnR697dbIYn0erHOQdSFNhHhb1i.jpg,https://www.youtube.com/embed/vadCbBuUM0E,0.80,spoilers alert
"May 24, 2000",Mission: Impossible II,$125.0M,$546.4M,$421.4M,337.11%,0.52,123,Expect the impossible again.,https://image.tmdb.org/t/p/w500/7us8nE3ldE0gX2cziUz4tKg0Go0.jpg,https://image.tmdb.org/t/p/w1280/24DZfupDlhXeTchmcOkoGRhP5Vg.jpg,https://www.youtube.com/embed/vIpqpRuGrq4,,
"Apr 25, 2006",Mission: Impossible III,$150.0M,$398.5M,$248.5M,165.65%,0.23,126,The mission begins 05:05:06.,https://image.tmdb.org/t/p/w500/vKGYCpmQyV9uHybWDzXuII8Los5.jpg,https://image.tmdb.org/t/p/w1280/lwWpr46UghFdFGBOZ5ieTvi9KN5.jpg,https://www.youtube.com/embed/YaM5BRXWIHY,0.18,May 5th 2006
"Dec 07, 2011",Mission: Impossible - Ghost Protocol,$145.0M,$694.7M,$549.7M,379.11%,0.67,133,No plan. No backup. No choice.,https://image.tmdb.org/t/p/w500/eRZTGx7GsiKqPch96k27LK005ZL.jpg,https://image.tmdb.org/t/p/w1280/ih4lZkUpmSE7AP3maymiO72xJ1z.jpg,https://www.youtube.com/embed/7wkih9Yvxq0,0.50,I'm doing DC tsunami Japan and Italian Super volcano Now Sputnik Strikes Back
"Jul 23, 2015",Mission: Impossible - Rogue Nation,$150.0M,$682.7M,$532.7M,355.14%,0.63,131,Desperate times. Desperate measures.,https://image.tmdb.org/t/p/w500/sGvcWcI99OTXLzghD7qXw00KaY5.jpg,https://image.tmdb.org/t/p/w1280/OrYq215ZYM75dBaHt6v7EHEyPz.jpg,https://www.youtube.com/embed/F-qBD17wwrQ,0.67,"Well, how impossible can the fifth mission be?"
"Jul 13, 2018",Mission: Impossible - Fallout,$178.0M,$791.7M,$613.7M,344.75%,0.69,147,Some missions are not a choice.,https://image.tmdb.org/t/p/w500/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg,https://image.tmdb.org/t/p/w1280/AeP1o1KeOufEVePgTPgBO7xncSZ.jpg,https://www.youtube.com/embed/MEOOas3JZt0,0.41,I want to see full movie any one have link
"Jul 08, 2023",Mission: Impossible - Dead Reckoning Part One,$291.0M,$567.5M,$276.5M,95.03%,0.2,164,We all share the same fate.,https://image.tmdb.org/t/p/w500/NNxYkU70HPurnNCSiCjYAmacwm.jpg,https://image.tmdb.org/t/p/w1280/bYJv39whWTAOWO0mv7oUija8GgM.jpg,https://www.youtube.com/embed/HurjfO_TDlQ,0.44,Top
