release_date,title,production_budget,box_office,profit,roi_percentage,performance,runtime,tagline,poster_url,backdrop_url,trailer,sentiment_score,comment
"May 25, 1977",Star Wars,$11.0M,$775.4M,$764.4M,6949.07%,0.76,121,"A long time ago in a galaxy far, far away...",https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,https://image.tmdb.org/t/p/w1280/4qCqAdHcNKeAHcK8tJ8wNJZa9cx.jpg,https://www.youtube.com/embed/XsS1yE2f-hE,0.82,The adventure in the galaxy far far away begins
"May 20, 1980",The Empire Strikes Back,$18.0M,$538.4M,$520.4M,2891.11%,0.48,124,The Star Wars saga continues.,https://image.tmdb.org/t/p/w500/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,https://image.tmdb.org/t/p/w1280/b37U5gN6itEjaFcmaKhUOqG2Mkt.jpg,https://www.youtube.com/embed/vU6L3jXt2r8,0.75,"Still to this day, the best of the Star Wars films."
"May 25, 1983",Return of the Jedi,$32.4M,$572.7M,$540.4M,1670.32%,0.41,132,"Return to a galaxy far, far away.",https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg,https://image.tmdb.org/t/p/w1280/iP2tEA2A77qhbhRfcFkiD6WFOqH.jpg,https://www.youtube.com/embed/NJZ83r9DlGc,0.69,"40 years ago.
29 years before Disney’s acquisition of Lucasfilm"
"May 19, 1999",Star Wars: Episode I - The Phantom Menace,$115.0M,$924.3M,$809.3M,703.75%,0.44,136,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,https://image.tmdb.org/t/p/w500/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,https://image.tmdb.org/t/p/w1280/5fu7fzy4NZTsL1Jap00UBIInAuB.jpg,https://www.youtube.com/embed/J3kyYFHdRsM,0.41,We had it so good 😢
"May 15, 2002",Star Wars: Episode II - Attack of the Clones,$120.0M,$649.4M,$529.4M,441.17%,0.34,142,A Jedi shall not know anger. Nor hatred. Nor love.,https://image.tmdb.org/t/p/w500/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,https://image.tmdb.org/t/p/w1280/1uQSh7P3k0oRbRf0vH8GVt4thpP.jpg,https://www.youtube.com/embed/lG8k-DkGfT4,,
"May 17, 2005",Star Wars: Episode III - Revenge of the Sith,$113.0M,$850.0M,$737.0M,652.21%,0.41,140,The saga is complete.,https://image.tmdb.org/t/p/w500/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,https://image.tmdb.org/t/p/w1280/5vDuLrjJXFS9PTF7Q1xzobmYKR9.jpg,https://www.youtube.com/embed/5UnjrG_N8hU,0.37,"I'll foll you y this Grip ain't serious Neeo $#*"""
"Dec 15, 2015",Star Wars: The Force Awakens,$245.0M,$2068.2M,$1823.2M,744.17%,0.72,136,Every generation has a story.,https://image.tmdb.org/t/p/w500/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,https://image.tmdb.org/t/p/w1280/k6EOrckWFuz7I4z4wiRwz8zsj4H.jpg,https://www.youtube.com/embed/sGbxmsDFVnE,0.23,The answer is no.
"Dec 13, 2017",Star Wars: The Last Jedi,$200.0M,$1332.7M,$1132.7M,566.35%,0.53,152,Darkness rises...and light to meet it.,https://image.tmdb.org/t/p/w500/ySaaKHOLAQU5HoZqWmzDIj1VvZ1.jpg,https://image.tmdb.org/t/p/w1280/5Iw7zQTHVRBOYpA0V6z0yypOPZh.jpg,https://www.youtube.com/embed/Q0CbN8sfihY,0.34,The trailer was so good. Yet the movie was SOOOOOOOOOOOOOOOOOO Bad
"Dec 18, 2019",Star Wars: The Rise of Skywalker,$416.0M,$1074.1M,$658.1M,158.21%,0.36,142,The saga will end. The story lives forever.,https://image.tmdb.org/t/p/w500/db32LaOibwEliAmSL2jjDF6oDdj.jpg,https://image.tmdb.org/t/p/w1280/auJKGst3vXpJozHZh4nMFs0xWIU.jpg,https://www.youtube.com/embed/8Qn_spdM5Zg,0.34,"Sigh.

SIGHHH"
